schoolname,for profit,tuition revenue per fte,branches,instructional expenditure per fte,faculty salary,under investigation,5 year declining balance,7 yr repayment completion,percent fafsa,percent pell grant,type
Alabama A & M University,non profit,9427.0,1,7437.0,6892.0,no,0.3035799523,0.6734693878,0.7238245753,0.851047017,non profit
Faulkner University,non profit,11127.0,1,5826.0,6485.0,no,0.4144602851,0.6995418344619443,0.6074113856,0.751342642,non profit
University of Montevallo,non profit,7568.0,1,7972.0,7437.0,no,0.6404494382,0.8535469108,0.4526967286,0.628647215,non profit
Alabama State University,non profit,7733.0,1,7618.0,6609.0,no,0.247972973,0.5864297254,0.6583557951,0.866913747,non profit
Central Alabama Community College,non profit,2100.0,1,6847.0,5815.0,no,0.3994974874,0.5555555556,0.4257274119,0.886676876,non profit
Athens State University,non profit,5476.0,1,6446.0,7711.0,no,0.5356885364,0.7394822006,0.5810377963,0.68545804,non profit
Auburn University,non profit,14135.0,1,11704.0,9487.0,no,0.7706237425,0.9251934652,0.4606643357,0.439248252,non profit
Birmingham Southern College,non profit,10266.0,1,10658.0,7451.0,no,0.7492063492,0.6995418344619443,0.8296836983,0.406326034,non profit
John C Calhoun State Community College,non profit,3170.0,1,3706.0,6106.0,no,0.4470338983,0.7652173913,0.4281742354,0.810009268,non profit
Enterprise State Community College,non profit,2055.0,1,5522.0,6309.0,no,0.4845735027,0.6995418344619443,0.4475574713,0.875718391,non profit
University of North Alabama,non profit,6702.0,1,7218.0,7424.0,no,0.5761031235,0.8359550562,0.4942084942,0.648648649,non profit
Gadsden State Community College,non profit,1702.0,1,5831.0,6185.0,no,0.49685005965531465,0.6995418344619443,0.3826975068,0.7237045962785821,non profit
George C Wallace State Community College,non profit,1928.0,1,6181.0,5479.0,no,0.49685005965531465,0.6995418344619443,0.3582196698,0.7237045962785821,non profit
Huntingdon College,non profit,10131.0,1,6435.0,5772.0,no,0.6080178174,0.8709677419,0.6505847953,0.612573099,non profit
Jacksonville State University,non profit,6447.0,1,7283.0,6801.0,no,0.4507692308,0.6666666667,0.5183366077,0.677472168,non profit
Jefferson Davis Community College,non profit,1178.0,1,5279.0,5504.0,no,0.49685005965531465,0.6995418344619443,0.466854725,0.7237045962785821,non profit
Jefferson State Community College,non profit,2708.0,1,4733.0,6026.0,no,0.4873257288,0.7777777778,0.4811534968,0.805404178,non profit
Judson College,non profit,8101.0,1,11427.0,5715.0,no,0.5816993464,0.6995418344619443,0.4154929577,0.823943662,non profit
University of West Alabama,non profit,7928.0,1,7552.0,6146.0,no,0.3957759412,0.7740384615,0.5909090909,0.751336898,non profit
Marion Military Institute,non profit,3286.0,1,5088.0,5916.0,no,0.4966442953,0.619047619,0.5640394089,0.57635468,non profit
Miles College,non profit,5202.0,1,5140.0,4404.0,no,0.170212766,0.3846153846,0.658838878,0.910632746,non profit
University of Mobile,non profit,9947.0,1,6766.0,4914.0,no,0.4956629492,0.7480916031,0.5894308943,0.635501355,non profit
Bishop State Community College,non profit,1494.0,1,5895.0,5987.0,no,0.49685005965531465,0.6995418344619443,0.4891025641,0.7237045962785821,non profit
Northeast Alabama Community College,non profit,1845.0,1,5637.0,6027.0,no,0.4959481361,0.7019230769,0.2771908017,0.926662523,non profit
Oakwood University,non profit,11693.0,1,7701.0,5147.0,no,0.314028314,0.7042253521,0.6548780488,0.669512195,non profit
Alabama Southern Community College,non profit,1528.0,1,5962.0,5711.0,no,0.49685005965531465,0.6995418344619443,0.462700661,0.7237045962785821,non profit
Samford University,non profit,18352.0,1,14553.0,8367.0,no,0.7874396135,0.914004914,0.6781609195,0.362707535,non profit
Snead State Community College,non profit,2171.0,1,3230.0,6300.0,no,0.49685005965531465,0.6995418344619443,0.4723309111,0.879821129,non profit
Southern Union State Community College,non profit,2131.0,1,3680.0,5635.0,no,0.5123726346,0.7376237624,0.483491337,0.857469761,non profit
Spring Hill College,non profit,12082.0,1,7460.0,6071.0,no,0.6696914701,0.8609625668,0.7879699248,0.49924812,non profit
Stillman College,non profit,21345.0,1,9567.0,4597.0,no,0.2205128205,0.5903614458,0.702020202,0.855218855,non profit
Talladega College,non profit,18039.0,1,8739.0,5186.0,no,0.1469194313,0.5652173913,0.67,0.922857143,non profit
Troy University,non profit,9837.043996667708,4,7228.592523169843,6313.049012524086,no,0.419757712,0.780058651,0.5129442738,0.735117742,non profit
